VEHICLE_OCCUPANTS,LICENSED?,NUMBER OF PERSONS INJURED,FATAL?,VEHICLE_AGE,VEHICLE_COMPANY,FORD?,FEMALE?,DAYTIME?
2,1,0,0,3,FORD,1,1,1
1,1,0,0,16,MERC,0,0,1
6,1,0,0,4,FORD,1,0,1
1,1,0,0,15,FORD,1,0,1
1,1,0,0,10,MERZ,0,0,0
3,1,0,0,16,NISS,0,0,0
4,1,0,0,8,HOND,0,0,0
2,1,0,0,2,TOYT,0,1,1
1,1,0,0,8,TOYT,0,1,1
1,1,0,0,11,FORD,1,0,1
2,1,0,0,9,HOND,0,0,0
2,1,0,0,3,TOYT,0,1,0
1,0,0,0,1,HOND,0,0,0
2,1,0,0,6,BMW,0,0,1
1,0,0,0,1,TOYT,0,0,1
1,0,0,0,9,JEEP,0,1,0
2,0,0,0,7,HOND,0,1,0
1,0,0,0,12,CHRY,0,0,0
2,1,0,0,11,CHRY,0,0,0
2,1,0,0,2,LEXS,0,0,1
2,1,0,0,8,FORD,1,0,1
1,1,0,0,9,FRHT,0,0,1
2,1,0,0,9,HOND,0,0,1
2,1,0,0,9,HOND,0,1,1
1,1,0,0,9,CHEV,0,0,1
1,1,0,0,1,BMW,0,0,1
1,1,0,0,12,CHRY,0,1,1
1,0,0,0,15,CHEV,0,0,1
1,1,0,0,12,CHEV,0,0,0
2,1,0,0,2,LINC,0,0,0
1,1,0,0,2,JEEP,0,1,1
1,1,0,0,7,TOYT,0,0,0
2,1,0,0,9,JEEP,0,0,0
1,1,0,0,1,TOYT,0,0,0
1,1,0,0,1,TOYT,0,0,0
2,1,0,0,13,JEEP,0,0,0
3,1,0,0,1,NISS,0,0,0
1,1,0,0,15,BMW,0,0,0
1,1,0,0,11,NISS,0,1,0
1,0,0,0,2,CHRY,0,0,1
1,1,0,0,6,MAZD,0,1,1
1,0,0,0,5,GMC,0,0,1
1,1,0,0,5,NISS,0,0,1
1,1,0,0,3,TOYT,0,1,0
2,1,0,0,8,HOND,0,0,0
2,1,0,0,2,JEEP,0,1,1
1,1,0,0,3,TOYT,0,0,0
1,1,0,0,16,GMC,0,0,1
1,1,0,0,4,FORD,1,0,1
1,1,0,0,1,BMW,0,0,0
1,1,0,0,1,TOYT,0,0,0
1,1,0,0,8,HOND,0,1,0
1,1,0,0,12,FORD,1,0,1
1,0,0,0,6,BMW,0,1,1
2,1,0,0,2,CADI,0,0,1
1,1,0,0,3,TOYT,0,0,0
1,1,0,0,2,TOYT,0,0,0
1,1,0,0,4,HOND,0,0,1
1,1,0,0,12,FORD,1,0,0
4,1,0,0,23,TOYT,0,1,1
1,1,0,0,10,FORD,1,0,0
1,0,0,0,10,INFI,0,1,1
1,1,0,0,16,NISS,0,0,0
1,1,0,0,11,HYUN,0,0,1
1,1,0,0,2,TOYT,0,0,1
1,1,0,0,2,CHEV,0,1,1
1,1,0,0,18,MAZD,0,1,1
1,1,0,0,15,STRN,0,0,1
1,1,0,0,5,CHEV,0,0,0
3,1,0,0,4,HOND,0,1,1
1,1,0,0,13,AUDI,0,0,1
1,1,0,0,7,NISS,0,0,0
1,1,0,0,7,ORION,0,0,0
1,1,0,0,10,LEXS,0,1,1
1,1,0,0,6,STRN,0,1,1
1,1,0,0,12,BMW,0,1,0
2,1,0,0,3,NISS,0,0,0
1,1,0,0,10,MAZD,0,0,0
1,1,0,0,10,NISS,0,1,0
1,1,0,0,6,INFI,0,0,0
3,1,0,0,9,HOND,0,1,0
3,1,0,0,1,LINC,0,0,0
2,1,0,0,4,BMW,0,0,0
1,1,0,0,7,HYUN,0,0,1
1,1,0,0,8,VOLK,0,1,0
1,0,0,0,9,TOYT,0,0,0
1,0,0,0,3,TOYT,0,0,1
2,1,0,0,1,BMW,0,0,0
1,1,0,0,2,INFI,0,0,0
1,1,0,0,10,TOYT,0,1,1
1,1,0,0,9,FORD,1,1,1
1,1,0,0,15,HYUN,0,0,0
1,1,0,0,2,DODG,0,1,1
2,1,0,0,15,CHEV,0,0,1
1,1,0,0,8,MERZ,0,0,0
1,1,0,0,1,CHRY,0,0,1
2,1,0,0,1,VOLV,0,0,0
1,1,0,0,3,DODG,0,0,0
2,1,0,0,1,CHEV,0,0,1
1,1,0,0,18,HOND,0,0,1
3,1,0,0,1,NISS,0,0,1
1,1,0,0,4,DODG,0,0,1
1,1,0,0,3,NISS,0,1,1
3,1,0,0,1,HINO,0,0,1
1,1,0,0,1,HOND,0,0,1
2,1,0,0,5,LNDR,0,0,0
2,1,0,0,2,NISS,0,0,0
3,1,0,0,4,NISS,0,1,0
3,1,0,0,6,FORD,1,0,1
1,1,0,0,9,DODG,0,0,0
2,1,0,0,7,MERZ,0,0,0
1,1,0,0,10,JEEP,0,1,1
1,1,0,0,3,GMC,0,0,1
1,1,0,0,3,LINC,0,0,1
1,1,0,0,13,HYUN,0,1,1
3,1,0,0,3,PORS,0,0,1
1,1,0,0,3,FORD,1,0,1
1,1,0,0,1,JEEP,0,0,1
1,1,0,0,17,CHEV,0,0,1
2,1,0,0,8,FORD,1,0,1
1,0,0,0,4,CADI,0,0,1
1,1,0,0,17,INFI,0,1,1
1,1,0,0,3,FORD,1,0,1
3,1,0,0,2,HOND,0,1,1
1,1,0,0,13,TOYT,0,1,1
1,1,0,0,2,FORD,1,0,0
1,1,0,0,13,HOND,0,0,1
1,1,0,0,4,CHEV,0,1,1
1,1,0,0,10,FORD,1,0,1
1,1,0,0,1,HOND,0,0,0
1,0,0,0,2,PORS,0,0,1
1,1,0,0,1,TOYT,0,0,1
1,1,0,0,1,INFI,0,0,1
1,1,0,0,2,NISS,0,0,1
1,1,0,0,5,CHEV,0,0,1
1,1,0,0,3,NISS,0,0,1
1,1,0,0,4,HOND,0,0,0
1,1,0,0,6,ACUR,0,0,1
5,1,0,0,5,NISS,0,0,1
1,1,0,0,2,HOND,0,0,0
1,1,0,0,1,TRUM,0,0,0
1,1,0,0,3,TOYT,0,0,1
1,1,0,0,3,TOYT,0,0,1
1,1,0,0,1,CHRY,0,1,1
1,1,0,0,1,TOYT,0,0,1
1,1,0,0,4,TOYT,0,0,1
1,1,0,0,9,UD,0,0,0
1,1,0,0,5,TOYT,0,0,0
4,1,0,0,3,BMW,0,0,1
1,1,0,0,12,NISS,0,0,1
2,1,0,0,1,TOYT,0,0,0
1,1,0,0,1,TOYT,0,0,1
1,1,0,0,1,TOYT,0,0,0
1,1,0,0,6,GMC,0,0,0
1,1,0,0,7,NISS,0,1,1
1,1,0,0,1,TOYT,0,0,1
1,1,0,0,1,FORD,1,0,1
1,1,0,0,7,INTL,0,0,1
1,0,0,0,9,INTL,0,0,1
1,1,0,0,1,PORS,0,0,1
1,1,0,0,12,KIA,0,1,0
1,1,0,0,14,CHEV,0,1,1
2,1,0,0,12,TOYT,0,1,0
3,1,0,0,4,NISS,0,1,0
1,1,0,0,2,ISU,0,0,1
2,1,0,0,3,HOND,0,0,1
1,1,0,0,2,NISS,0,0,0
1,1,0,0,2,TOYT,0,0,1
1,1,0,0,5,CHEV,0,0,1
1,0,0,0,7,TOYT,0,0,1
1,1,0,0,7,FORD,1,0,1
1,1,0,0,4,FRHT,0,0,1
1,1,0,0,3,NISS,0,1,0
1,1,0,0,12,KW,0,0,0
1,1,0,0,5,CHEV,0,1,0
1,1,0,0,14,BMW,0,0,1
2,1,0,0,3,TOYT,0,0,1
1,1,0,0,4,TOYT,0,0,1
1,1,0,0,4,KALMA,0,0,0
1,1,0,0,2,TOYT,0,1,1
1,1,0,0,1,MITS,0,0,1
2,1,0,0,10,HOND,0,1,1
1,1,0,0,1,HYUN,0,0,1
1,1,0,0,8,VOLV,0,0,1
1,1,0,0,6,TOYT,0,0,1
2,1,0,0,2,CHEV,0,0,0
1,1,0,0,9,KIA,0,1,1
2,1,0,0,1,NISS,0,1,1
1,1,0,0,1,LEXS,0,1,1
1,1,0,0,5,CHEV,0,0,1
1,1,0,0,10,MERZ,0,0,0
1,1,0,0,15,MERZ,0,0,0
2,1,0,0,14,HOND,0,0,1
1,1,0,0,3,TOYT,0,0,1
1,1,0,0,4,FORD,1,0,1
1,1,0,0,8,JEEP,0,0,1
1,1,0,0,12,NISS,0,0,1
1,1,0,0,6,TOYT,0,1,1
2,1,0,0,1,FORD,1,1,1
1,1,0,0,16,FORD,1,0,1
1,1,0,0,11,HOND,0,0,1
1,1,0,0,5,TOYT,0,0,1
1,1,0,1,1,YAMA,0,0,1
1,1,0,0,7,TOYT,0,0,1
1,1,0,0,7,TOYT,0,1,1
1,1,0,0,10,JEEP,0,0,1
1,1,0,0,7,HOND,0,0,1
2,1,0,0,12,HOND,0,0,1
1,1,0,0,3,TOYT,0,0,1
2,1,0,0,11,FORD,1,0,1
18,1,0,0,5,FORD,1,0,1
1,1,0,0,9,NISS,0,0,1
1,1,0,0,11,FORD,1,0,0
2,1,0,0,6,TOYT,0,1,0
1,1,0,0,1,NISS,0,1,1
1,1,0,0,11,ACUR,0,0,1
1,1,0,0,4,NISS,0,0,1
3,1,0,0,9,DODG,0,0,1
1,1,0,0,5,NISS,0,0,1
1,1,0,0,14,HOND,0,0,1
1,1,0,0,13,HOND,0,1,1
4,1,0,0,8,TOYT,0,0,1
2,1,0,0,3,TOYT,0,1,1
1,1,0,0,2,FORD,1,0,1
7,1,0,0,6,TOYT,0,0,0
3,1,0,0,14,HOND,0,0,1
2,1,0,0,2,CHRY,0,0,1
2,1,0,0,1,VOLK,0,1,1
1,1,0,0,5,BMW,0,0,1
1,1,0,0,1,TOYT,0,0,0
1,0,0,0,9,TOYT,0,0,0
1,1,0,0,2,HOND,0,1,1
1,1,0,0,10,SUZI,0,0,1
1,1,0,0,7,DODG,0,0,1
1,1,0,0,14,NISS,0,1,0
